X,Y
77.194444,15.599099
77.212963,15.599099
77.231481,15.599099
77.25,15.599099
77.009259,15.617117
77.027778,15.617117
77.046296,15.617117
77.064815,15.617117
77.083333,15.617117
77.101852,15.617117
77.12037,15.617117
77.138889,15.617117
77.157407,15.617117
77.175926,15.617117
77.194444,15.617117
77.212963,15.617117
77.231481,15.617117
77.25,15.617117
77.009259,15.635135
77.027778,15.635135
77.046296,15.635135
77.064815,15.635135
77.083333,15.635135
77.101852,15.635135
77.12037,15.635135
77.138889,15.635135
77.157407,15.635135
77.175926,15.635135
77.194444,15.635135
77.212963,15.635135
77.231481,15.635135
77.25,15.635135
77.009259,15.653153
77.027778,15.653153
77.046296,15.653153
77.064815,15.653153
77.083333,15.653153
77.101852,15.653153
77.12037,15.653153
77.138889,15.653153
77.157407,15.653153
77.175926,15.653153
77.194444,15.653153
77.212963,15.653153
77.231481,15.653153
77.25,15.653153
77.009259,15.671171
77.027778,15.671171
77.009259,15.509009
77.027778,15.509009
77.046296,15.509009
77.064815,15.509009
77.083333,15.509009
77.101852,15.509009
77.12037,15.509009
77.138889,15.509009
77.157407,15.509009
77.175926,15.509009
77.194444,15.509009
77.212963,15.509009
77.231481,15.509009
77.25,15.509009
77.009259,15.527027
77.027778,15.527027
77.046296,15.527027
77.064815,15.527027
77.083333,15.527027
77.101852,15.527027
77.12037,15.527027
77.138889,15.527027
77.157407,15.527027
77.175926,15.527027
77.194444,15.527027
77.212963,15.527027
77.231481,15.527027
77.25,15.527027
77.009259,15.545045
77.027778,15.545045
77.046296,15.545045
77.064815,15.545045
77.083333,15.545045
77.101852,15.545045
77.12037,15.545045
77.138889,15.545045
77.157407,15.545045
77.175926,15.545045
77.194444,15.545045
77.212963,15.545045
77.231481,15.545045
77.25,15.545045
77.009259,15.563063
77.027778,15.563063
77.046296,15.563063
77.064815,15.563063
77.083333,15.563063
77.101852,15.563063
77.12037,15.563063
77.138889,15.563063
77.157407,15.563063
77.175926,15.563063
77.194444,15.563063
77.212963,15.563063
77.231481,15.563063
77.25,15.563063
77.009259,15.581081
77.027778,15.581081
77.046296,15.581081
77.175926,15.171644
77.064815,15.581081
77.083333,15.581081
77.101852,15.581081
77.12037,15.581081
77.138889,15.581081
77.157407,15.581081
77.175926,15.581081
77.194444,15.581081
77.212963,15.581081
77.231481,15.581081
77.25,15.581081
77.009259,15.599099
77.027778,15.599099
77.046296,15.599099
77.064815,15.599099
77.083333,15.599099
77.101852,15.599099
77.12037,15.599099
77.138889,15.599099
77.157407,15.599099
77.175926,15.599099
77.157407,15.277027
77.175926,15.277027
77.194444,15.277027
77.212963,15.277027
77.231481,15.277027
77.25,15.277027
77.009259,15.295045
77.027778,15.295045
77.046296,15.295045
77.064815,15.295045
77.083333,15.295045
77.101852,15.295045
77.12037,15.295045
77.138889,15.295045
77.157407,15.295045
77.175926,15.295045
77.194444,15.295045
77.212963,15.295045
77.231481,15.295045
77.25,15.295045
77.009259,15.313063
