As_ppm,Pb_ppm,Hg_ppb
0.5924039283779817,1.4117969042604233,0.0701569977949824
0.6410764922086805,1.0182393408214891,0.0701569977949824
0.5313758459174891,1.0584432502179653,0.0
0.6035293295961338,1.2049980863592171,0.23248676035896368
0.672663550495798,0.658368779117561,0.13092975357145736
0.716953563084285,1.6137116490367698,-0.24530787899074624
0.672663550495798,0.9607219899829742,0.23248676035896368
0.6706699492719875,1.1057606415553327,0.0701569977949824
0.672663550495798,1.097943026812186,0.13092975357145736
0.6337333004732437,1.0182393408214891,0.0
0.6756428876715705,1.0663987420477785,0.13092975357145736
0.6676683947428993,1.0101118379891691,0.27586429253634037
0.6736581338034052,0.9271841289483951,0.3154648767857287
0.566092857365773,1.0101118379891691,0.3154648767857287
0.65245580822427,1.074326270755482,0.0
0.5423436049499546,1.3496232387494342,0.4463946303571861
0.6177218884492319,1.3285118871467743,0.35189388295066765
0.6696709225525812,1.001954940869261,0.0701569977949824
0.5684221871994477,0.8672653974777808,0.0
0.5890300085180346,0.8585741358735184,-0.24530787899074624
0.65245580822427,1.1975175501639757,-0.24530787899074624
0.7766434803537406,1.3000524610094548,-0.24530787899074624
0.8147511695988796,0.9523841631292814,-0.24530787899074624
0.5742103708050399,1.0101118379891691,0.27586429253634037
0.5276797136026915,0.7697681916422998,0.0
0.6786090516112121,0.8672653974777808,0.0
0.6284385112024159,1.0584432502179653,-0.24530787899074624
0.5555096109449627,0.7606922051679793,-0.24530787899074624
0.7141525305468562,1.3214306267133695,0.13092975357145736
0.48824421747202235,0.8146082291155072,0.18453512321427137
0.6252414615386416,0.9187211561843791,0.3154648767857287
0.4120084139610922,1.314327063060681,1.0628749286285073
0.6545041955199046,1.3635884821011455,0.13092975357145736
0.7344269018740813,1.1749259129032557,0.0701569977949824
0.7298725984480379,0.893140016967899,0.0
0.5991012850167473,1.097943026812186,0.3154648767857287
0.5856390342308346,0.9937684360724044,0.385621874580711
0.5519444316871325,0.9016993425929912,0.13092975357145736
0.5531349312331115,1.1597381141275267,0.13092975357145736
0.6431598675418421,1.2784697164496448,0.13092975357145736
0.702829961040427,1.1521056885854597,0.13092975357145736
0.573056722510236,1.1673447978819507,0.0701569977949824
0.5495570757223761,1.0182393408214891,0.0
0.4532823899937214,1.1135512523941051,0.13092975357145736
0.3440947516575179,1.5823428597084128,0.35189388295066765
-0.33534664996421815,0.6773216603584293,0.0
0.8227565905895448,1.227291970636499,-0.24530787899074624
0.741650081408361,0.8845480843093263,-0.24530787899074624
0.5050647749052805,0.24144739854129696,-0.24530787899074624
0.6002110393113496,0.025341610377239476,-0.24530787899074624
0.7723678360643544,0.7967790485581777,-0.24530787899074624
0.6990129019906616,0.658368779117561,-0.24530787899074624
0.5362725561119902,0.9016993425929912,-0.24530787899074624
1.0252291342965918,1.2124538934640696,-0.24530787899074624
0.7243663050056846,1.2712293262979744,-0.24530787899074624
0.5338286688259305,1.4456113246923603,-0.24530787899074624
0.8392633081701123,0.9773057381956374,-0.24530787899074624
0.9339666616673123,0.9187211561843791,-0.24530787899074624
0.6999692048156138,0.9016993425929912,-0.24530787899074624
0.7225207843971768,1.0504595972964192,-0.24530787899074624
0.5411337825876088,0.3639919850265037,-0.24530787899074624
0.7479071876984108,0.893140016967899,0.0
0.7774953488086572,0.8057112566500653,0.0701569977949824
