X,Y,As_ppm,Pb_ppm,Hg_ppb
77.194444,15.599099,0.5924039283779817,1.4117969042604233,0.0701569977949824
77.212963,15.599099,0.6410764922086805,1.0182393408214891,0.0701569977949824
77.231481,15.599099,0.5313758459174891,1.0584432502179653,0.0
77.25,15.599099,0.6035293295961338,1.2049980863592171,0.23248676035896368
77.009259,15.617117,0.672663550495798,0.658368779117561,0.13092975357145736
77.027778,15.617117,0.716953563084285,1.6137116490367698,-0.24530787899074624
77.046296,15.617117,0.672663550495798,0.9607219899829742,0.23248676035896368
77.064815,15.617117,0.6706699492719875,1.1057606415553327,0.0701569977949824
77.083333,15.617117,0.672663550495798,1.097943026812186,0.13092975357145736
77.101852,15.617117,0.6337333004732437,1.0182393408214891,0.0
77.12037,15.617117,0.6756428876715705,1.0663987420477785,0.13092975357145736
77.138889,15.617117,0.6676683947428993,1.0101118379891691,0.27586429253634037
77.157407,15.617117,0.6736581338034052,0.9271841289483951,0.3154648767857287
77.175926,15.617117,0.566092857365773,1.0101118379891691,0.3154648767857287
77.194444,15.617117,0.65245580822427,1.074326270755482,0.0
77.212963,15.617117,0.5423436049499546,1.3496232387494342,0.4463946303571861
77.231481,15.617117,0.6177218884492319,1.3285118871467743,0.35189388295066765
77.25,15.617117,0.6696709225525812,1.001954940869261,0.0701569977949824
77.009259,15.635135,0.5684221871994477,0.8672653974777808,0.0
77.027778,15.635135,0.5890300085180346,0.8585741358735184,-0.24530787899074624
77.046296,15.635135,0.65245580822427,1.1975175501639757,-0.24530787899074624
77.064815,15.635135,0.7766434803537406,1.3000524610094548,-0.24530787899074624
77.083333,15.635135,0.8147511695988796,0.9523841631292814,-0.24530787899074624
77.101852,15.635135,0.5742103708050399,1.0101118379891691,0.27586429253634037
77.12037,15.635135,0.5276797136026915,0.7697681916422998,0.0
77.138889,15.635135,0.6786090516112121,0.8672653974777808,0.0
77.157407,15.635135,0.6284385112024159,1.0584432502179653,-0.24530787899074624
77.175926,15.635135,0.5555096109449627,0.7606922051679793,-0.24530787899074624
77.194444,15.635135,0.7141525305468562,1.3214306267133695,0.13092975357145736
77.212963,15.635135,0.48824421747202235,0.8146082291155072,0.18453512321427137
77.231481,15.635135,0.6252414615386416,0.9187211561843791,0.3154648767857287
77.25,15.635135,0.4120084139610922,1.314327063060681,1.0628749286285073
77.009259,15.653153,0.6545041955199046,1.3635884821011455,0.13092975357145736
77.027778,15.653153,0.7344269018740813,1.1749259129032557,0.0701569977949824
77.046296,15.653153,0.7298725984480379,0.893140016967899,0.0
77.064815,15.653153,0.5991012850167473,1.097943026812186,0.3154648767857287
77.083333,15.653153,0.5856390342308346,0.9937684360724044,0.385621874580711
